,observation,action,reward,next_observation,done
8413,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8414,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8415,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8416,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8417,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8418,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8419,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8420,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8421,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8422,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8423,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8424,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8425,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8426,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8427,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8428,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8429,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8430,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8431,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8432,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8433,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8434,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8435,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8436,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8437,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8438,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8439,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8440,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8441,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8442,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8443,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8444,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8445,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",2,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",False
8446,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  1.
 0.  0.  0.  0.  1.  0.  0.2 0.3]",5,-2.802775637731995,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",False
8447,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.
 1.  0.  1.  1.  0.  0.  0.3 0.2]",1,-3.1213203435596424,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 1.  0.  0.  1.  1.  0.  0.3 0.3]",False
